,link,image,addr,zip,redfin_price,sold_price,Beds,Bath,SqFt,YearBuilt,SoldTime,Disc,Stories,Style,Community,County,LotSize,ElemSchool,MidSchool,HighSchool,Walk,Transit,Bike
167,28559464,/c1178fa6d6be7c80006ebbb316c41259_genMid.18530107_4.jpg,2416 SE Clinton St,97202,711491,725000,3,2.5,2434,2010,SOLD 3/13/18,"OPEN 2/10 1-3 & 2/11 2-4.This reproduction home is as beautiful & pristine as they come! Featuring period-style millwork,huge kitchen,large master suite,California Closets,sound-proofed party wall,flat fenced yard,2 car tandem garage, and lower level bonus room(possible ADU?)Energy Star/Earth Advantage certified & all in a community-centered neighborhood just steps from cafes,shopping,parks-you name it! You will absolutely love it here!",3,Old Portland,Multnomah,18530107,2,9,5,6,93,59,96
168,26397502,/57bc5160fc307953a71307c94eca0607_genMid.17485799_1.jpg,3715 SE Malden St,97202,460716,430070,3,1,1800,1955,SOLD 3/09/18,"The affordable opportunity you've been waiting for in coveted Eastmoreland! This solid, well-maintained, single-owner midcentury is ready for your personal touches, offering a classic floor plan & features, incl hdwd flrs & wood-burning frpl. Excellent bsmt ceiling height gives you additional room for imagination. Just blocks to Duniway Elementary, Holy Family, & shopping/dining on Woodstock. Easy access to #19 bus & MAX Orange Line.",2,"Traditional, Mid-Century Modern",Multnomah,17485799,"5,000 Sq. Ft.",8,8,6,48,46,82
169,25825625,/97fb9a3ae5d7675e6b950a5c35dba4d7_genMid.18380522_0.jpg,1532 SE Tolman St,97202,596644,599900,3,1.5,2123,1907,SOLD 3/08/18,"This Old Portland features a circular floor plan, modern kitchen and numerous behind-the-scene updates that bring this house in to the 21st century. The high ceilings, triple-pane windows and custom light fixtures ensure that being at home is always bright and cheery - even in the middle of winter. Neighborhood shops, restaurants, movie theater and parks are just blocks away. Bike downtown in less than 30 minutes! [Home Energy Score = 7. HES Report at https://api.greenbuildingregistry.com/report/pdf/R288085-20171211.pdf]",3,Old Portland,Multnomah,18380522,"5,000 Sq. Ft.",8,8,6,88,47,95
170,25772218,/c81181107d80a63cb13991da1533e715_genMid.18284816_0.jpg,7219 SE 41st Ave,97202,393042,323000,2,1,1024,1915,SOLD 3/06/18,"Charming bungalo in beaut neighbrhd w/great schls; Duniway ES, Sellwood MS & Cleveland HS! Walkscore 61 to Berkeley Prk, Eastmoreland Market & Kitch & more along Woodstock Blvd including Farmer's Market &  summer art shows!  BikeScore  66! New:roof,gutters,sewer line,water line, gorg refin wood flrs, all new int/ext paint, vinyl windows, new fixtures, beautiful kitch w/SS apps & the list is endless!Must see! [Home Energy Score = 6. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115088-20180220.pdf]",1,Bungalow,Woodstock/Eastmoreland,Multnomah,0,8,8,6,56,43,79
171,25835802,/c87c4321a285d570c9566919307b2dd2_item_0.jpg,2414 SE 30th Ave,97214,776503,530000,4,2,3227,1892,BOUGHT WITH REDFIN 3/05/18,Investor special with HUGE potential right off Division in the Richmond neighborhood! This home is truly a piece of history situated in one of the most unique and popular arear in Portland. Extra square footage in unfinished basement and attic space!  Finish the basement and attic to create over 3000 sqft home! With the Zoning of this home being R-5 you can expand even more if desired!  Restore this beauty to its original masterpiece.,3,Traditional,Multnomah,17679584,—,9,5,6,93,53,100
172,26644595,/7227ec34f59e7285f2ff3575a9ec6758_genMid.17050871_0.jpg,3948 SE 26th Ave,97202,382095,430000,4,1,2552,1913,SOLD 3/05/18,"Are you dreaming of a craftsman bungalow with all the period details? Pocket doors, formal dining, wainscoting, hardwoods, formal entry, bedroom on main, spacious kitchen over looking the yard. Would you love your own oversized front porch facing west with city and sunset views? Is close-in 97202 your desire? Don't miss this Brooklyn Craftsman Bungalow.  Just need some TLC to shine!",2,2 Story,Multnomah,17050871,"3,300 Sq. Ft.",5,5,6,73,56,94
173,26640624,/fb2946e71ee1166f7250cefca9ab31b8_genMid.18370528_2.jpg,4026 SE Boise St,97202,580492,575000,4,3,2701,1929,SOLD 3/02/18,"Home Sweeeeet Home! This SPACIOUS bungalow has the perfect layout--vaulted mstr suite w/ bonus & bath up; 2bdrms & bath on main; & family room, legal bdrm, & bath below (ADU potential?). Built-ins & storage galore! Remodeled w/era-appropriate finishes & gourmet kitchen. Upgrades include 90% furnace, tnkls wtrhtr, all newer windows. South facing backyard & sturdy detached garage. Walk to TJ's & cafes on Gladstone. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R212610-20171229.pdf]",3,Bungalow,Multnomah,18370528,"5,000 Sq. Ft.",5,5,6,69,53,87
174,25783892,/070d9323f5f13d2242d86e12955faaa7_genMid.18207923_0.jpg,3522 SE Carlton St,97202,771835,790000,3,2,2388,1925,SOLD 3/02/18,"Absolutely exquisite English on oversized corner lot in sought-after Eastmoreland w/all the character of yesteryear & updates of today including master suite w/gas fireplace, built-in bookshelves & desk, walk-in closet, bathroom heated tiled floor & mirror, soak tub. Banks of French doors/windows, picture molding, open staircase w/custom wrought iron rail, hardwood floors. Front terrace, side & back patios, 2-car garage. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R152598-20180122.pdf]",3,English,EASTMORELAND,Multnomah,"6,500 Sq. Ft.",8,8,6,61,47,83
175,25812863,/fdef759be2cd93abf08af2077524e2c1_genMid.18241811_0.jpg,3679 SE Rex St,97202,485706,469900,2,2,1608,1948,SOLD 2/28/18,"Charming move-in ready house ready to be a home!Gorgeously refinished wd flrs,vinyl windows,refinished millwork&all newer interior paint throughout.Recently updated bathroom w/lots of tile work&pedestal sink!The remodeled kitchen boasts shaker cabs,granite countertops,tile back splash&ss appliances!Other quality feats include newer comp rf,recessed lighting,newer fixtures,crown molding&designer colors w/lots of windows&natural light! [Home Energy Score = 8. HES Report at https://api.greenbuildingregistry.com/report/pdf/R115173-20180105.pdf]",2,"Traditional, 1 Story",EASTMORELAND,Multnomah,"5,000 Sq. Ft.",8,8,6,48,47,81
176,62203806,/92259fcbde6bc8db03c6f313b608fb5e_genMid.17467464_0.jpg,3079 SE Franklin St,97202,795233,819000,4,3.5,2677,2017,BOUGHT WITH REDFIN 2/14/18,"Gorgeous vintage style new cons w/82 Walkscore & 89 BikeScore, nearly 3,000sf w/ 4 bdrms & 3 1/2 bths, spac/light & bright layout! Beautiful wood flrs, hi-ceilings, recessed lighting, lots of windows, gas FP, white kitch w/SS appliances! Enjoy spa-like mstr w/sunken tub, walk-in shower& more! Lower lvl bonus space has own bthrm & could serve as sep living quarters! Include builder warranty! All on a nice landscaped,fenced lot! Must see!",3,Traditional,Richmond,Multnomah,1,5,5,6,81,55,89
178,25748450,/f9fb5d5d22665ce078f0e125cb8a3e17_genMid.18041900_0.jpg,7326 SE 17th Ave,97202,633425,627000,3,1.5,2574,1911,SOLD 2/13/18,"Amazing architectural detail, incredible updates. Generously sized rooms with original woodwork, built ins. Large kitchen w/custom quarter sawn oak cabinets, prep island with sink, banquette seating. Bath with glass shower surround, granite counter. Meticulous care taken--seismic retrofit, radon mitigation, tankless H2O,new roof, new driveway,new AC/high eff furnace. Main floor master, two more bedrooms upstairs, bonus mainfloor office. [Home Energy Score = 5. HES Report at https://api.greenbuildingregistry.com/report/pdf/R303729-20171205.pdf]",3,"Bungalow, Craftsman",Multnomah,18041900,"5,000 Sq. Ft.",8,8,6,89,48,97
180,26607580,/5170792cac34ee08876b131d26df2f4e_genMid.17655052_0.jpg,3945 SE 31st Ave,97202,500352,460000,3,2,2568,1895,SOLD 2/09/18,"Vintage Creston Farmhouse Ready for New Owners! This solid older homes features high ceilings, bamboo, fir & marmoleum floors, new interior & exterior paint, newer hi-efficiency gas furnace & sewer line, gas cooking, 2 updated full bathrooms & a spacious, sunny fenced yard great for gardening & pets. Room for RV parking. Only blocks to parks, buses, restaurants & pubs! Zoned R2.5.",3,Farmhouse,Multnomah,17655052,"5,000 Sq. Ft.",5,5,6,74,54,90
181,26481353,/a2517b3b775c81127da21ad355dce765_genMid.17690639_2.jpg,6215 SE 23rd Ave,97202,552027,485000,4,2,2420,1947,SOLD 2/08/18,Open House Sun 1/14 11-2! Fantastic opportunity in Westmoreland! Near Reed College and Westmoreland Nature park. This 4 bedroom home has a finished lower level with kitchenette and bathroom is perfect for income suite or multigenerational living. Updated kitchen with stainless steel appliances. Second level is its own private bedroom. Minutes from Sellwood shops and dining. Original hardwoods under carpet. Private driveway for 3 cars,3,2 Story,Multnomah,17690639,"5,000 Sq. Ft.",8,8,6,74,51,97
182,26561594,/d4b50c4420229d749d702aa7b61b69e7_genMid.17160748_0.jpg,1821 SE Umatilla St,97202,477139,470000,3,2,1840,1900,BOUGHT WITH REDFIN 2/08/18,"Adorable turn of the century home in popular Sellwood-Moreland. Open living/dining area leads into a gourmet kitchen with cooking island. Finished Daylight Basement with Master suite. Egress through sliding doors to private back yard. High ceilings on both levels. Many updates! Close to Shops & Restaurants. Welcome home! Located on the Spring Water Bike Trail! Walk Score 84, Bike Score 88",2,Bungalow,SELLWOOD MORELAND,Multnomah,"5,000 Sq. Ft.",8,8,6,87,49,93
183,113642998,/b5cd064daefc3d0b0d7a41b3b52dbd1a_genMid.18111506_0.jpg,8091 SE 8th Ave,97202,500173,495000,2,1,2114,1912,BOUGHT WITH REDFIN 2/06/18,"Charming bungalow in the heart of popular Sellwood offering over 2,100sf of space w/a phenomenal new kitchen w/white shaker cabs,tile flrs,new ss appliances,modern flair&lots of light!Other feats include all new int&ext pnt,designer colors,all new plumbing&lighting fixtures,beautifully refinished original wd flrs,tall ceilings,extensive white millwork w/craftsman features such as wainscoting&built-ins!",2,"Old Portland, 2 Story",Multnomah,18111506,"2,503 Sq. Ft.",8,8,6,89,37,96
184,26499717,/aa8e0574cdc1a831d7bb6841270ec06e_genMid.17641844_0.jpg,7217 SE 36th Ave,97202,793287,791700,4,3,2940,1937,SOLD 2/05/18,"Fantastic Eastmoreland style! This is an opportunity not to be missed. From the timeless beauty of top-nailed hardwoods and built-in charm to the remodeled kitchen w/quartz counters and high-end appliances, this home will impress. Turnkey income potential with the guest quarters, including full bath and office, above the 2002 built 2-car garage (a rare find in Eastmoreland) is a wonderful addition. Just 3 blocks from Berkeley Park.",3,"Tudor, 2 Story",Multnomah,17641844,"6,000 Sq. Ft.",8,8,6,51,46,84
185,26546632,/b74030eb7add5bf6be795470a9bba3d6_genMid.17399829_1.jpg,3623 SE 9th Ave,97202,616174,549950,4,2,3242,1909,SOLD 2/02/18,"This beautiful home is your quintessential early Portland bungalow. A well-loved home that sits high off the street and exudes a wonderful mix of cool c1909 vintage features, warmth and hospitality. 4th bedroom has no egress window but makes a great guest room, fam rm, or office. Lots of room for hobbies in the basement workshop. Loads of storage throughout. Sweet back yard. Detached garage. Minutes to downtown or OHSU.",2,"Bungalow, Craftsman",Multnomah,17399829,"4,623 Sq. Ft.",5,5,6,78,61,90
186,25856179,/99016b02ab7d29ce06eff511ff18b3a4_genMid.17407997_4.jpg,3561 SE Long St,97202,503381,470000,4,2,2000,1945,SOLD 2/01/18,"Motivated Seller!!! Charming 4 Bedroom, 2 bath home on quiet SE location. Huge finished basement w/2 rooms, laundry area & full bath. Family room is light, bright w/cozy fireplace & hardwood floors. Owner has updated kitchen & main bth. Oversized corner lot with huge partially fenced backyard w/room to expand, possibly ADU & detached garage. Just a little loving touch would complete this lovely home. Buyer to do own due diligence.",2,"Bungalow, 2 Story",Multnomah,17407997,"6,252 Sq. Ft.",5,5,6,69,48,94
187,25857050,/8fee5c70335caf656c40f28390a0ddab_genMid.17059141_5.jpg,8111 SE Cesar E Chavez Blvd,97202,445843,445000,2,1,841,1952,SOLD 1/31/18,Quiet end of Cesar Chavez.Adorable 1-story home located on corner in highly desirable Eastmoreland. Beautifully refinished hdwd floors thruout. Wood-burning fireplace warms the cozy yet open living room. Sparkling new kitchen with stainless appliances including a Wolf stove! Updated bath plus laundry with custom built-ins off the brand new kitchen. Covered patio for year round entertaining w/fenced yard.Steps to Springwater Bike Trail.,1,"Ranch, 1 Story",Multnomah,17059141,"5,000 Sq. Ft.",8,8,6,50,46,74
188,26458529,/bb31db028224b3e34bc1b2e447f17217_genMid.17614385_0.jpg,5023 SE Cesar E Chavez Blvd,97202,483284,485000,4,2,1788,1929,SOLD 1/31/18,"Reed cottage packed w/ curb appeal! Lots of updated systems. Period-perfect detail meticulously maintained: newly refinished hardwoods, original built-ins, fixtures & finishes. The kitchen is a showstopper. Main level bedroom & updated full bathroom w/ clawfoot tub. 2 beds & bonus space on upper level. Downstairs transformed into master suite w/ walk-in closet, bath, radiant heated floors & a utility room. Private fenced backyard. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R245870-20171220.pdf]",3,"Bungalow, Tudor",Multnomah,17614385,"4,800 Sq. Ft.",5,5,6,69,47,81
190,26400458,/43332db7c39a7e083fdb73d51f9b82ac_genMid.17527930_0.jpg,6835 SE 29th Ave,97202,1633613,1694000,5,4.5,7208,1951,SOLD 2/16/18,"Stately Georgian Colonial home designed by Roscoe Hemenway is unveiled as a complete restoration by Portland Houseworks. Grand foyer w/curved staircase, glass hanging chandelier & cstm wainscotting.Mltpl entertaining spaces w/open great rm kitchen anchored by quartz island, formal dining, builtins & white oak floors. Gourmet kitchen w/Walker Zanger tile backsplsh, large Wolf app & sub-zero refrig. Wet bar, kitchenette, dual wine refri.",3,Colonial,EASTMORELAND,Multnomah,"10,650 Sq. Ft.",8,8,6,40,50,71
191,26567014,/ac4f469087bc36f80e690033f8d6cf0b_genMid.18593127_1.jpg,6407 SE Reed College Pl,97202,600893,630000,3,1.5,3437,1938,SOLD 2/16/18,Please do not walk property unescorted. Amazing opportunity to bring this classic Eastmoreland Colonial on prestigious Reed College Place back to its glory.  Same owner for over 50 years. Grand home with almost 3500sf on 3 levels. Hardwoods under carpet. High ceilings in basement for more potential living space. Seller to do no repairs. Cash offers only.,3,Colonial,Multnomah,18593127,"6,000 Sq. Ft.",8,8,6,54,48,78
193,26390457,/80ef9804d1064d954ffcc714697290e2_genMid.17148080_2.jpg,1434 SE Harney St,97202,621634,650000,3,2,2088,1912,SOLD 1/09/18,"PRICE REDUCED! CHARM, STYLE AND UPGRADES WITH OPEN FLOOR PLAN. WELL MAINTAINED HOME BOASTS UPDATED KITCHEN W/FARM SINK, COOK ISLAND & STAINLESS APPLIANCES. BAY WINDOWS, GAS FIREPLACE, WOOD FLOORS, CLAW-FOOT BATH TUB, EARTHQUAKE RETROFITTING, LARGE FRONT PORCH AND FENCED, SUNNY BACKYARD WITH DECK & PATIO. NEWER WINDOWS AND NEW ROOF IN 2011. QUIET NEIGHBORHOOD & CLOSE-IN SELLWOOD LOCATION. HIGH WALK SCORE & BIKE FRIENDLY NEIGHBORHOOD.",2,"Bungalow, 2 Story",Multnomah,17148080,"5,000 Sq. Ft.",8,8,6,86,44,97
194,26583271,/6c584b7cd659f81816eebad816c49227_genMid.17583332_0.jpg,3656 SE Schiller St,97202,539541,565000,3,2,2042,1953,SOLD 1/04/18,"Beautiful mid-century in Reed community. Elevated lot, fantastic main level combining the living, dining & kitchen areas. Full of natural light hardwood floors. Elegant kitchen w/ quartz counter tops SS apps a brick mantled gas fireplace. Lower level family, utility bonus room full bath. 2 decks & great yard! Walk to Trader Joe's, Starbucks, the 75 bus line. Close to Woodstock, New Seasons, Grand Central Bakery, Laughing Planet, Otto's",2,"1 Story, Mid-Century Modern",Reed College,Multnomah,"6,700 Sq. Ft.",5,5,6,70,47,89
195,26403369,/a8d1e81bc1d7c3b6bce6ebe9e76b0ea0_genMid.17617788_0.jpg,4052 SE Holgate Blvd,97202,356816,365000,3,2,2064,1927,SOLD 12/26/17,"Pop & Walkable Creston/Kenilworth develpmnt opp Fixer!71 WalkScore & 81 BikeScore near shops, cafes, Trader Joe's, public transit,& other pop Woodstck, Reed, Sellwd neighbrhd!2000 SF of spac living on 5000SF park-like lot zoned R1 ready for remod ideas or torn down for new develpmnt of multiple units/condos/row homes. Bring your creativity & build condos or multi-fam(possibly 7 units w/amenity bonus).Chk w/City of Portland.",3,Bungalow,CRESTON - KENILWORTH,Multnomah,"4,995 Sq. Ft.",5,5,6,71,52,85
196,25754290,/6f034b4bf6773a50ef18d7d6670194f8_genMid.17441169_0.jpg,3024 SE Knapp St,97202,803959,799322,4,3.5,3369,1947,SOLD 12/22/17,"Curb appeal, manicured grounds, spacious floor plan - this remodeled Eastmoreland Cape Cod has it all, including 2 Master Suites (one on the main floor), 3 beds & 2 baths up, basement bonus & family rooms & an attached 2-car garage for NW winters. Upstairs Master Retreat Features Sitting Area, 3 Closets, Dual Vanities & Tiled Shower. French doors lead from living room to brick patio, outdoor fireplace & hot tub. OFFER RECEIVED!",3,"Colonial, 2 Story",Multnomah,17441169,"5,200 Sq. Ft.",8,8,6,50,48,85
197,26523716,/277c1504c51b72a8da0dac0324b39a64_genMid.17305125_0.jpg,2604 SE 20th Ave,97202,655526,550000,4,2,2160,1948,SOLD 12/22/17,"Located in the heart of Division-Clinton neighborhood. Enjoy the vintage character on the main floor w/original hardwoods, spacious kitchen & bedrooms, tile & built-ins. 2 bedroom/1 bath ADU in basement w/2nd living room, kitchen & private entrance. Imagine the possibilities of a separate living space for multiple uses! Detached garage & large backyard. Corner lot, zoned R2.5. Great for investors! Walk/Bike score 92/93.",2,Capecod,Multnomah,17305125,"5,000 Sq. Ft.",9,5,6,93,62,99
198,26458304,/4e7dd69e451f8f2044168d56d13cf030_genMid.17119749_0.jpg,2620 SE 17th Ave,97202,624311,632000,3,2.5,2184,1905,SOLD 12/20/17,"Charming Victorian in prime Clinton/Division neighborhood. Open main floor with new, custom built-ins, gas fireplace and sound system. Sought after 3 beds up. Lower level with separate entrance, second kitchen, bonus room and full bath. Possible ADU/AirBnB income unit? Amazing yard with new privacy fence and raised beds. Walk to New Seasons, the MAX, Abernathy ES and shops/cafes on Division. Ask your agent for full list of upgrades.",3,Victorian,Multnomah,17119749,"4,200 Sq. Ft.",9,5,6,92,64,99
200,26303551,/b74264bfdba6cf60549162541c629cf2_genMid.17100417_0.jpg,4605 SE 31st Ave,97202,548206,499000,3,2.5,2770,1974,SOLD 12/19/17,"Modern Architecture in Reed: 1974 was a great year. One owner home: absolute move in condition. Beautifully remodeled 3 bedroom, 2 1/2 bath residence. Master suite with fireplace & deck. 3 fireplaces total. Fabulous kitchen, pantry and eating nook. Lower level den. Cobblestone hardscaping. Considered landscaping. Fabulous architecture. Truly nothing like it on the market.",5,"Contemporary, Split",Reed,Multnomah,"5,000 Sq. Ft.",5,5,6,68,51,90
201,26432735,/0ea5324c9baec5dcb731543d6b757458_genMid.17683124_D.jpg,2130 SE Lambert St,97202,771772,750000,4,3.5,2957,2016,SOLD 12/19/17,"Custom craftsman in vibrant community w/ shops, dining, top rated schools, and fab Westmoreland Park just steps away. Built 2015 w/ tons of upgrades. Upper master suite has walk in closet and bright, spacious bath. Main floor guest suite on main could double as master. Open plan is light&airy w/vaulted ceilings, abundant windows. Dining area opens to a gourmet kitchen w/ high end appliances incl. 5 burner Wolf gas range.",2,"Craftsman, Custom Style",SELLWOOD/MORELAND,Multnomah,"5,000 Sq. Ft.",8,8,6,61,51,93
202,26494538,/642b6c2b7e67465b0676529dd9d8d728_genMid.17549657_0.jpg,1436 SE Bybee Blvd,97202,562863,565000,3,1,2357,1925,SOLD 12/15/17,"Like a phoenix from the fire! Thoughtfully remodeled home that offers all the best of Sellwood and Westmoreland. Across the street from the Moreland Farmer's Market.  A short walk to all kinds of fun stuff. Fully remodeled kitchen and bathroom, hardwoods, Rejuvenation lighting, and fresh paint all on a nice big lot. Amazing ADU potential. Check it out!",3,Bungalow,Multnomah,17549657,"5,017 Sq. Ft.",8,8,6,92,47,76
203,26545845,/e24ba7bd133754a17a72abb5ff153165_genMid.17336366_0.jpg,2862 SE Tibbetts St,97202,554269,550000,4,2.5,1818,2004,SOLD 12/15/17,"Broker Tour: 10/24, 11am-1pm. This charming home is perfectly located in SE Portland, with easy access to downtown. Bike to just about everything! Large front porch, hardwoods throughout, formal dining and living rooms, great room off kitchen. Master, plus three additional bedrooms, full bath and laundry all upstairs! The perfect family home. Walk Score: 88. Bike Score: 92!",2,Craftsman,Multnomah,17336366,"4,000 Sq. Ft.",5,5,6,88,57,92
204,26301561,/582013cc42e3b005ca7f927fac767476_genMid.17451880_0.jpg,7922 SE 30th Ave,97202,717169,700950,4,3,3008,1951,SOLD 12/15/17,"Heart of Eastmoreland Cape Cod sits high off street w/hard-to-find two-car garage on prime street near golf & ""Little Park"". Large formal living & dining rooms w/coved ceiling, picture molding. Hardwoods on main & up. Remod kitchen w/Quartz, Maple cabs, nook. Family room w/frpl, built-ins. A full bath on each floor (new shower on main). Private, fenced back yard. Central air. This house is spacious! 1363 SQFT on main floor.",3,Capecod,Eastmoreland,Multnomah,"5,000 Sq. Ft.",8,8,6,31,52,74
205,26550016,/eeef77d05ed66600d1b0a181f027ba30_genMid.17255282_A.jpg,3211 SE Tacoma St,97202,475873,359000,2,1,2488,1924,SOLD 12/13/17,"This Classic PDX home is a Gardner's paradise or artists retreat in the city. This home welcomes you with a vintage stove, and continues into the spacious kitchen. Downstairs has multiple options for either a family room, den or home office space. Outside your green thumb will be delighted year round. Off main road in clu-de-sac In close proximity to Tideman Johnson Park and the Springwater Trail.",3,Bungalow,Multnomah,17255282,"8,276 Sq. Ft.",8,8,6,49,51,62
206,26482892,/d803d54de73ab3e063c808bc448c168b_genMid.17130896_8.jpg,2615 SE 27th Ave,97202,658288,643000,3,2,3332,1905,SOLD 12/11/17,"Updated bungalow 2 doors down from Clinton St & Piccolo Park. Beautifully refinished hardwood floors and Rejuvenation light fixtures throughout. All new plumbing with new water line, new electrical, panel and 98% efficient gas furnace. Carrera Marble countertops, tile backsplash, DCS SS Gas appliances & custom cabinetry. Master suite w/tile walk in shower. Full basement w/dual access and potential for expansion.",2,Bungalow,Multnomah,17130896,"5,000 Sq. Ft.",9,5,6,93,57,93
207,26482456,/a0c50917b78a6860de2f3ae50126be64_genMid.17070918_0.jpg,2825 SE 37th Ave,97202,522865,490000,3,1,2367,1910,SOLD 12/11/17,"Updated & hip vintage PDX bungalow.  Location!!  Walk score 86, bike score 100.  Close-in neighborhood w/ parks, schools, shopping, dining, coffee, groceries, transit all just a few blocks away. New roof, gorgeous hardwoods throughout main, new bathroom remodel, granite kitchen w/ cook island, covered porch, sunroom, fenced yard, large basement w/ laundry hook ups, huge master BR up w/ new carpet & walk in closet. Same owner 25+ years.",2,Bungalow,RICHMOND / WAVERLEIGH HEIGHTS,Multnomah,"3,440 Sq. Ft.",9,5,6,85,52,91
208,109514626,/dce5666ca8502caccb26390fabc94cdf_genMid.17136101_0.jpg,3917 SE 36th Ave,97202,497516,499900,3,2.5,1576,2017,SOLD 11/30/17,"Beautiful New Vintage Portland home! Certified Earth Advantage home with all of the modern conveniences. Master suite with a double sink, tiled shower, walk-in closet. Custom built-ins, slab quartz counters, and stainless appliances. Open, sunny great room with a fireplace. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great location! Walk to parks, restaurants, and shops!",2,Old Portland,CRESTON - KENILWORTH,Multnomah,"2,525 Sq. Ft.",5,5,6,79,52,91
209,25849892,/90b28e1c5e9cd672d9e5d0344fe267d6_genMid.17551923_0.jpg,7915 SE 35th Ave,97202,697642,755000,3,2,2728,1927,SOLD 11/27/17,"Offers due Friday by 1:00. Rare opportunity for one level living with a master suite & laundry room on the main floor.Remodeled to perfection with high end finishes & colors.Many systems have been updated, newer windows & roof. Great floor plan and bright open kitchen. Finished basement with new carpet. Fenced, private backyard with deck. Prime location near parks,award winning schools & all the shopping of Westmoreland & Woodstock.",2,Traditional,Multnomah,17551923,"6,700 Sq. Ft.",8,8,6,48,50,71
210,26308005,/3ea5379ce265f9d9227c6bbbdea1f8f7_genMid.17581026_0.jpg,3723 SE Glenwood St,97202,685252,596000,4,2,2931,1942,SOLD 11/22/17,"This warm, endearing Cape Cod in coveted Eastmoreland welcomes you with a wealth of vintage details, incl beautiful hdwds main & upper, & delightful original built-ins in nearly every room. Renovations incl baths redone w/ understated vintage aesthetics, & a knockout cook's kitchen w/ tile flrs, slab granite, Viking range w/ pot filler, drinks fridge, & more. Add'l amenities incl. stamped concrete patio and firepit, o/s gar. Must see!",3,Capecod,Multnomah,17581026,"5,000 Sq. Ft.",8,8,6,57,45,69
211,45398639,/9a9fc27a0cbe5a9a667b54482b2ff7e0_genMid.17232888_0.jpg,2930 SE 18th Ave,97202,731372,720000,3,2.5,2703,2012,SOLD 11/22/17,"Gorgeous LEED Certified Renaissance home w/ southern light, open floorplan, box-beam ceilings, wainscoting, built-ins, hardwood floors, breakfast bar, AC, soaking tub and two master suites!  Green features include 90% efficient furnace, tankless H20, Energy Star appliances & air cleaner. Lower level incl spacious bonus room. Yard is fenced w/ garden beds.  Excellent urban location close to eats, shops, & public transit!",3,"Traditional, Craftsman",HOSFORD-ABERNETHY,Multnomah,"3,067 Sq. Ft.",9,5,6,90,62,98
212,26490813,/930bb530aee637b5d76a86906840f4a8_genMid.17377963_0.jpg,3643 SE Flavel St,97202,599479,625000,3,2,2172,1913,SOLD 11/17/17,"Offers due Friday 10/13 by 2:00. Formal living & Dining rooms, remodeled kitchen w/ custom cabinets,granite counters, subway tiles & SS appliances.Huge master suite on the main floor w/walk in closet & spa like bathroom & slider that opens to private, meticulously landscaped yard.Finished basement with bedroom & large family room with egress windows!Prime location near all the shops & dining of Woodstock & Westmoreland.",3,Bungalow,Multnomah,17377963,"5,000 Sq. Ft.",8,8,6,50,46,82
213,26479545,/f85be6fa7e3f881a92960e773c00f790_genMid.17309030_0.jpg,3329 SE Steele St,97202,503160,495000,4,2,2442,1923,SOLD 11/16/17,"OPEN HOUSE 10/15 SUNDAY 1:00 pm-3:00PM Beautiful Reed College Home! Convenient to Downtown, Schools, Shopping.  Walking & bike trails  nearby. Granite counters,custom cabinets,slate tile floor/granite accents wood floors, new paint, 7.1 Surround sound Private fenced yard w/ pond. 2 car garage/lots of parking for guests. Turkish marble fireplace.Tnkless H2O heater.Updated plumbing Heated floor in master bath.",3,Other,Portland Southeast,Multnomah,"5,600 Sq. Ft.",5,5,6,56,49,86
267,26599427,/a0d1f0abb19ab5fc4c5c56a61ac5e2fe_genMid.17596428_0.jpg,4735 SE 47th Ave,97206,420491,396104,3,1,1126,1951,SOLD BY REDFIN 12/19/17,"Great schools, move in ready!! Well maintained home: 2017 New insulated garage door w/opener, tree care & backyard fence replaced. 2014 all new siding, windows; gutters; shower surround & bathroom tub fixtures; new door & concrete sill at back of garage; new dry well. 2013 New H2O Heater. Additionally, new flashing at chimney & roof installed, newer kitchen faucet, blown insulation in attic& walls for energy efficiency.",2,"Bungalow, 2 Story",Multnomah,17596428,"5,000 Sq. Ft.",7,5,6,63,51,94
269,26441942,/8a8b4fe614ce6991ed4dc0cb69e54248_item_17.jpg,5808 SE Malden St,97206,282191,270000,2,1,856,1936,SOLD BY REDFIN 11/08/18,"Charming Brentwood Darlington 2 bedroom! Newer roof, gorgeous classically remodeled bath. Square footage lives large- loft sleeps two. 10/10 energy score means maximum efficiency! Renovated in 2017, new stainless steel appliances. Gardener's delight with raised beds full of PNW natives, roses, and heirloom vegetation! Custom climbing metal art enhances front entrance, with custom metal railings upstairs. Near Woodstock area and parks. [Home Energy Score = 10. HES Report at https://rpt.greenbuildingregistry.com/hes/OR10029357-20180827]",2,"Capecod, 2 Story",Multnomah,18118231,0,4,3,6,58,41,89
