,link,image,addr,zip,redfin_price,sold_price,Beds,Bath,SqFt,YearBuilt,SoldTime,Disc,Stories,Style,Community,County,LotSize,ElemSchool,MidSchool,HighSchool,Walk,Transit,Bike
11,40356254,/8ddae8d06228cb8f07cc8b2c9082b393_genMid.18286635_0.jpg,3637 SE 28th Ave,97202,481206,474950,3,2.5,1615,2017,SOLD 8/20/18,"Steps to the Clinton corridor which features many top-rated eateries and hip shops. These modern homes rests ideally in the Creston/Clinton neighborhood.Offering an easy commute,with many bike & bus routs. Watch as natural light flows through these well thought-out floor plans that feature chefs kitchen,custom cabinets,hardwoods,3 beds, 2.5 baths with a wonderful master suite. This home is a must see.Call your broker today!",2,"Contemporary, 2 Story",Multnomah,18286635,"2,360 Sq. Ft.",5,5,6,83,57,96
12,26476835,/240149b3de5c4a5144f7a14dcbb0e5d7_genMid.18302509_0.jpg,1016 SE Umatilla St,97202,619980,420000,3,2,2542,1900,SOLD 8/27/18,"Fun & funky Sellwood farmhouse! Looking for space? This is it! 3 bedrooms + 2 bonus rooms + basement! High ceilings and abundant windows create light filled spaces! Tiled kitchen and baths; generous sized rooms; ideal for first time buyer or great investment property! Large private backyard w/patio; long driveway for off street parking; fresh paint & new carpet!  Walk/bike to nearby cafes, parks & busline! Best buy in Sellwood! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/hes/OR10077201-20180731]",3,Farmhouse,Multnomah,18302509,"5,000 Sq. Ft.",8,8,6,91,39,94
13,26388440,/e143381a2a67bf2c7da079f3ce0ab984_genMid.18224157_0.jpg,7701 SE 30th Ave,97202,887301,936000,5,2.5,4322,1926,SOLD 8/24/18,"A Rarity Find in Eastmoreland.  5 Bedrooms Upstairs!.  First Time on Market in 26 years.  Large & Spacious, Friendly & Welcoming.  Over 4000 Sq Ft.  Multiple French Doors w/ Big,Wide Windows.  Light &Bright Throughout Entire Home!  Hardwoods Throughout.  Formal Living & Dining.  Large Entry.  2 Family Rooms.  Sunroom.  2.5 Baths. Large Kitchen w/Breakfast Nook & Sweet Desk Area.  Huge Lower Level 1406 Sq Ft. Beautiful Private BackYard.",3,English,EASTMORELAND,Multnomah,"7,500 Sq. Ft.",8,8,6,42,51,74
15,26443227,/b26d46677114936aeb3cef02027dddb7_genMid.18207333_0.jpg,735 SE Nehalem St,97202,467486,465900,2,1,1238,1927,SOLD 8/20/18,Desirable location within fantastic Sellwood/Moreland neighborhood. Corner lot on dead end/cul-de-sac. Beautifully established landscaping. Mature trees. Hand- chiseled stonework. A lot of yard space with treehouse. Covered patio and porch. Updated plumbing. New double-hung windows. Oak and fir floors. Refinished claw- foot tub. Open and efficient floorplan. Clean and dry basement with finished bonus room and interior garage access.,2,"Bungalow, Old Portland",Sellwood Moreland,Multnomah,"5,000 Sq. Ft.",8,8,6,85,36,95
16,26504660,/41d04a3c8c3e156550e28bf1f3b2619b_genMid.18291575_0.jpg,2867 SE Brooklyn St,97202,562114,611200,3,1,2608,1916,SOLD 8/06/18,"Relax on the full front porch of this charming 1914 Craftsman bungalow, restored w/original built-ins, wainscot w/ plate rail, picture moldings, high coved ceilings, oak + fir flrs, vintage light fixtures, clawfoot + hex tile floor in bath. Updated w/ cent A/C + hi-eff gas heat, gas fireplace, fresh ext paint, newer double-pane windows + opening skylights. On a quiet tree lined street 4 blocks to Clinton center + 3 blocks to Division. [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299411-20180621.pdf]",3,"Bungalow, Craftsman",Multnomah,18291575,"3,800 Sq. Ft.",5,5,6,88,56,91
17,26440574,/917d0cff8ccdbd958527c9968ace3ff3_genMid.18181907_0.jpg,3324 SE 24th Ave,97202,363181,360000,2,1,1820,1904,SOLD 7/31/18,"A piece of Portland history! Original 1900's Sears kit home. So much potential! Zoned CM2 (commercial mixed use). Partially finished basement with separate entry. Tall ceilings, original woodwork, trim and wood floor. Plumbing in place for 2nd bthrm on the main floor. Bring your contractor and make this the perfect home or investment property. Perfect location for commercial or office space. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R122764-20180522.pdf]",2,Old Portland,Multnomah,18181907,"5,000 Sq. Ft.",9,5,6,86,58,96
18,26537458,/aea1cd8b2cd28c0c125ca0dc8e37d80d_genMid.18603921_5.jpg,6834 SE 28th Ave,97202,999115,892500,4,3,4280,1928,SOLD 7/25/18,"Gorgeous 1920s home w/amazing old world charm! Highly sought prestigious Eastmoreland nghbrhd! Private .25 acre acrss frm Reed College, wlk to max! Airy w/high ceilings & ntrl light. Formal living w/fp, blt-ins & orig hrdwds thrghout, dining w/lead glass windows, coved ceilings, chic cstm ktchn w/nook, ss applncs, ample cabinet space! Offce/bdrm on main. Ovrszd mstr suite, fp, w/lux bath. Huge bonus rm. [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R152713-20180227.pdf]",3,English,EASTMORELAND,Multnomah,"10,000 Sq. Ft.",8,8,6,40,50,71
19,25866109,/bbdf0a743465f37de875490fddff8c40_genMid.18179501_0.jpg,3655 SE Schiller St,97202,495983,452000,2,2,2288,1953,SOLD 7/24/18,"Less than a mile to Reed Collage, Eastmorland golf, Woodstock shops and 2 blocks to Trader Joe's. Sweet home full of possibilities. Major updates are done; vinyl windows, gas furnace, electrical panel. Fenced yard, covered patio and vegetable garden. This sweet home is just waiting for your decorative touches to make it your home. Bike Score 84, Walk Score 71.  Home energy score 5",2,1 Story,Multnomah,18179501,"4,600 Sq. Ft.",5,5,6,73,49,84
20,26518405,/97fb43242cb6abd7b61c24ab9c8b41cf_genMid.18532810_2.jpg,2821 SE Franklin St,97202,606118,615000,3,2,2408,1909,SOLD 6/26/18,"Remodeled with love from top to bottom, with abundant natural light and a floor plan perfect for entertaining. Generous spaces invite you to settle in and start living. Remodeled throughout with custom cabinets, crown molding, marble bathrooms, heated floors and many more amazing touches. Nearby amazing restaurants and shops on both Clinton and Division make this a perfect home for urban living.",3,Bungalow,Multnomah,18532810,"4,000 Sq. Ft.",5,5,6,86,56,94
21,26614390,/3c0ed59c7c556df88f7c16289821a451_genMid.18203225_0.jpg,8412 SE 16th Ave,97202,804199,846000,4,4,3293,1909,BOUGHT WITH REDFIN 6/25/18,"Best of old & new in this restored & updated Craftsman in coveted Sellwood. Integrity, charm preserved w/beautifully updated baths, kitchen, et.al. respecting the rich architecture of a true Craftsman. Huge master suite. Unique grounds alone worth the trip: new 2-car garage w/studio/ADU potential above, 2 covered porches, fenced, mature plantings, ""Drivable Grass"". Seismic & home energy upgrades: already done! Walkscore 90! [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R267623-20180420.pdf]",3,Craftsman,Multnomah,18203225,"5,000 Sq. Ft.",8,8,6,90,46,96
